titulo,categoria,titulo categoria,id,titulo mega categoria,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic,12/11/18
Vitafusion Women's Gummy Vitamins 150 Count ,Otros,"{'id': 'MLM1953', 'name': 'Otras Categorías'}",647413913,MLM3530,0,0,0,0,0,0,0,0,0,0,0,0
Vitafusion Women's Gummy Vitamins 150 Count ,Otros,"{'id': 'MLM1953', 'name': 'Otras Categorías'}",647413915,MLM3530,0,0,0,0,0,0,0,0,0,0,0,0
Vitafusion Women's Gummy Vitamins 150 Count ,Otros,"{'id': 'MLM1953', 'name': 'Otras Categorías'}",647410486,MLM3530,0,0,0,0,0,0,0,0,0,0,0,0
Vitafusion Women's Gummy Vitamins 150 Count ,Otros,"{'id': 'MLM1953', 'name': 'Otras Categorías'}",647410490,MLM3530,0,0,0,0,0,0,0,0,0,0,0,0
Vitafusion Women's Gummy Vitamins 150 Count ,Otros,"{'id': 'MLM1953', 'name': 'Otras Categorías'}",647277923,MLM3530,0,0,0,0,0,0,0,0,0,0,0,0
Vitafusion Women's Gummy Vitamins 150 Count ,Otros,"{'id': 'MLM1953', 'name': 'Otras Categorías'}",647278242,MLM3530,0,0,0,0,0,0,0,0,0,0,0,0
Vitafusion Women's Gummy Vitamins 150 Count ,Otros,"{'id': 'MLM1953', 'name': 'Otras Categorías'}",647285019,MLM3530,0,0,0,0,0,0,0,0,0,0,0,0
Vitafusion Women's Gummy Vitamins 150 Count ,Otros,"{'id': 'MLM1953', 'name': 'Otras Categorías'}",647285029,MLM3530,0,0,0,0,0,0,0,0,0,0,0,0
Vitafusion Women's Gummy Vitamins 150 Count ,Otros,"{'id': 'MLM1953', 'name': 'Otras Categorías'}",647409249,MLM3530,0,0,0,0,0,0,0,0,0,0,0,0
Vitafusion Women's Gummy Vitamins 150 Count ,Otros,"{'id': 'MLM1953', 'name': 'Otras Categorías'}",647409294,MLM3530,0,0,0,0,0,0,0,0,0,0,0,0
